Project Name,Package Name,Architecture Smell,Cause of the Smell
3.4.13,org.apache.zookeeper.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper.server.auth
3.4.13,org.apache.zookeeper.graph.filterops,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AndOp]; [Arg; GreaterThanOp; LessThanOp; NumberArg; StringArg; SymbolArg]; [EqualsOp]; [NotOp]; [OrOp]; [XorOp]. LCC (Lack of Component Cohesion) = 0.55
3.4.13,org.apache.zookeeper.graph.servlets,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FileLoader; JsonServlet; JsonRequest; NumEvents; Throughput; Fs; GraphData]; [StaticContent]. LCC (Lack of Component Cohesion) = 0.25
3.4.13,org.apache.zookeeper.server.jersey.jaxb,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ZChildren]; [ZChildrenJSON]; [ZError]; [ZPath]; [ZSession]; [ZStat]. LCC (Lack of Component Cohesion) = 1.0
3.4.13,org.apache.zookeeper.server.jersey.resources,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JAXBContextResolver]; [KeeperExceptionMapper]; [RuntimeExceptionMapper]; [SessionsResource]; [ZErrorWriter]; [ZNodeResource]. LCC (Lack of Component Cohesion) = 1.0
3.4.13,org.apache.zookeeper.server.jersey,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RestMain; ZooKeeperService; MyWatcher; SessionTimerTask; Base; CreateTest; DeleteTest; ExistsTest; GetChildrenTest; GetTest; RootTest; SessionTest; SetTest; WadlTest]; [MyWatcher]; [MyWatcher]; [RestTestSuite]; [MyWatcher]. LCC (Lack of Component Cohesion) = 0.28
3.4.13,org.apache.zookeeper.inspector.gui.nodeviewer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper.inspector.gui
3.4.13,org.apache.zookeeper,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 107
3.4.13,org.apache.zookeeper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.zookeeper.server.quorum; org.apache.zookeeper.server; org.apache.zookeeper; org.apache.zookeeper.client; org.apache.zookeeper.server.persistence; org.apache.zookeeper.server.util; org.apache.zookeeper.server.auth
3.4.13,org.apache.zookeeper,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper.client; org.apache.zookeeper.server; org.apache.zookeeper.test
3.4.13,org.apache.zookeeper.client,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConnectStringParser]; [FourLetterWordMain]; [HostProvider; StaticHostProvider; Resolver]; [ZooKeeperSaslClient; ServerSaslResponseCallback]. LCC (Lack of Component Cohesion) = 0.57
3.4.13,org.apache.zookeeper.common,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper
3.4.13,org.apache.zookeeper.common,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AtomicFileOutputStream; IOUtils]; [PathTrie; TrieNode]; [PathUtils]; [Time; TimeTest]. LCC (Lack of Component Cohesion) = 0.57
3.4.13,org.apache.zookeeper.server,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 140
3.4.13,org.apache.zookeeper.server,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper.server.upgrade; org.apache.zookeeper.server.quorum; org.apache.zookeeper.server.auth; org.apache.zookeeper.test
3.4.13,org.apache.zookeeper.server.persistence,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper.server; org.apache.zookeeper.test
3.4.13,org.apache.zookeeper.server.quorum,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 124
3.4.13,org.apache.zookeeper.server.quorum,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper.server.quorum.auth; org.apache.zookeeper.test
3.4.13,org.apache.zookeeper.server.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper.server
3.4.13,org.apache.zookeeper.server.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [KerberosUtil]; [OSMXBean]; [Profiler; Operation]; [SerializeUtils; SerializeUtilsTest]; [ZxidUtils]; [PortForwarder; PortForwardWorker]. LCC (Lack of Component Cohesion) = 0.67
3.4.13,org.apache.zookeeper.test,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 145
3.4.13,org.apache.zookeeper.test,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper.server.upgrade
