Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Log4JSource; Log4JSourceIterator
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
zookeeper-release-3.4.5,org.apache.zookeeper.graph,MeasureThroughput,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
zookeeper-release-3.4.5,org.apache.zookeeper.graph,MeasureThroughput,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph,MergedLogSource,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MergedLogSource; MergedLogSourceIterator
zookeeper-release-3.4.5,org.apache.zookeeper.graph,RandomAccessFileReader,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
zookeeper-release-3.4.5,org.apache.zookeeper.graph,TxnLogSource,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TxnLogSource; TxnLogSourceIterator
zookeeper-release-3.4.5,org.apache.zookeeper.graph,TxnLogSourceIterator,Feature Envy,The tool detected a instance of this smell because readNextEntry is more interested in members of the type: BinaryInputArchive
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,AndOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,EqualsOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,GreaterThanOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,LessThanOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,NotOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,NumberArg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,NumberArg,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Arg
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,OrOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,StringArg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,StringArg,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Arg
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,SymbolArg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,SymbolArg,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Arg
zookeeper-release-3.4.5,org.apache.zookeeper.graph.filterops,XorOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.servlets,FileLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.servlets,FileLoader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): JsonServlet
zookeeper-release-3.4.5,org.apache.zookeeper.graph.servlets,Fs,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.servlets,Fs,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): JsonServlet
zookeeper-release-3.4.5,org.apache.zookeeper.graph.servlets,GraphData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.servlets,GraphData,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): JsonServlet
zookeeper-release-3.4.5,org.apache.zookeeper.graph.servlets,NumEvents,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
zookeeper-release-3.4.5,org.apache.zookeeper.graph.servlets,NumEvents,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): JsonServlet
