Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgFilters,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SELECT_ALL
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: GET_OPTION_INFO_NAME; ORDER_BY_NAME; ARG_NAME_TO_FLAG; IS_BOOLEAN; DANGLING_ASSIGNMENT_RE; DANGLING_ASSIGNMENT_PATTERN; ASSIGNMENT_PATTERN; GET_OPTION_INFO_NEGATED_NAME; GET_CANONICAL_ARG_NAME; GET_CANONICAL_NEGATED_ARG_NAME; LOG; ARG_PATTERN; QUOTE_PATTERN; out
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Parsers,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MULTI_VALUE_SPLITTER; INFO_TO_PARSED_TYPE; INFO_TO_PARSER; registry
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScannerTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 73 public methods
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,StandardArgs,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: ENUM_VAL; STRING_VAL; CHAR_VAL; BYTE_VAL; SHORT_VAL; INT_VAL; LONG_VAL; FLOAT_VAL; DOUBLE_VAL; BOOL; REGEX; TIME_AMOUNT; DATA_AMOUNT; RANGE; POSITIONAL
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,NameParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Monty,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,CustomArgs,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: NAME_VAL; MEANING_VAL
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,CollectionArgs,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: STRING_LIST; INT_LIST; STRING_SET; INT_SET; STRING_STRING_MAP; INT_INT_MAP; STRING_INT_MAP; INT_STRING_MAP; STRING_STRING_PAIR; INT_INT_PAIR; STRING_TIME_AMOUNT_PAIR
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Serializable1,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Serializable2,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,WildcardArgs,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: CLAZZ; CLASS_LIST_1; CLASS_LIST_2
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,SameName,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,VerifyArgs,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: CUSTOM_VAL; STRING_VAL; OPTIONAL_STRING_VAL; INT_VAL; LONG_VAL; FLOAT_VAL; DOUBLE_VAL; BOOL; ARG_WITHOUT_DEFAULT
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ShortHelpArg,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: SHORT_HELP
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ShortHelpArg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,LongHelpArg,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LONG_HELP
